zone,state,city,name,type,entrance_fee_in_inr,significance,image_url,total_cost,latitude,longitude
Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,7500,Cultural,https://www.rannutsav.com/blog/wp-content/uploads/2024/12/141013682_715635635803639_4674705074199093637_n-1.png,11000,24.08333,70.16667
Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,0,Religious,https://upload.wikimedia.org/wikipedia/commons/9/94/The_Golden_Temple_of_Amrithsar_7.jpg,3050,31.620132,74.876091
Northern,Ladakh,Leh,Pangong Tso,Lake,20,Nature,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/00/2f/67/img-20180620-wa0007-largejpg.jpg?w=900&h=500&s=1,4000,33.717942,78.8968
Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/b/b9/Shree_Siddhivinayak_Temple_Mumbai.jpg,2050,19.01692,72.830409
Western,Gujarat,Somnath,Somnath Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Somanath_mandir_%28cropped%29.jpg/640px-Somanath_mandir_%28cropped%29.jpg,2050,20.905886,70.387505
Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,0,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Jallianwala_Bagh%2C_Amritsar_01.jpg/1200px-Jallianwala_Bagh%2C_Amritsar_01.jpg,3050,31.620521,74.880565
Northern,Punjab,Amritsar,Wagah Border,Border Crossing,0,Cultural,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Wagah_border_ceremony2.jpg/800px-Wagah_border_ceremony2.jpg,3050,31.60464,74.5731
Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Mahalaxmi_Temple%2C_Kolhapur.jpg/640px-Mahalaxmi_Temple%2C_Kolhapur.jpg,2050,18.983331,72.799998
Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Mahakal_Temple_Ujjain.JPG/1200px-Mahakal_Temple_Ujjain.JPG,3050,23.18278,75.76833
Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,10,Historical,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/1d/24/96/the-marvellous-orchha.jpg?w=900&h=500&s=1,4000,25.35,78.64
Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,0,Religious,https://upload.wikimedia.org/wikipedia/commons/4/49/1000_Year_loop.jpg,3050,32.297812,78.011941
Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2500,Adventure,https://www.pandotrip.com/wp-content/uploads/2014/05/Top-10-Paragliding-Sites-Slovenia-Photo-by-Robert-Kovacs.jpg,6000,18.755,73.47
Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,0,Adventure,"https://ik.imagekit.io/wcarzmwtz/trekyaari-images/Triund_-_Trekyaari_26_-jY9cOl6O.jpeg?tr=w-2048,q-100",3050,32.2617,76.3544
Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/f/f9/Badrinath_Temple_%2C_Uttarakhand.jpg,3050,30.7447,79.4911
Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,0,Religious,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/45/3b/da/the-main-temple.jpg?w=1200&h=-1&s=1,3050,30.98,78.93
Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Tungnath_temple.jpg/640px-Tungnath_temple.jpg,3050,30.489,79.217
Central,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Ayodhya_Ram_Mandir_Inauguration_Day_Picture.jpg/800px-Ayodhya_Ram_Mandir_Inauguration_Day_Picture.jpg,3050,26.7956,82.1943
Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/e/e3/Banke_Bihari_Vrindavan.jpg,3050,27.5798,77.6905
Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Kali_Paltan_Mandir%2C_Meerut.jpg/1200px-Kali_Paltan_Mandir%2C_Meerut.jpg,3050,28.9968,77.6911
Northern,Ladakh,Kargil,Kargil War Memorial,War Memorial,0,Historical,https://upload.wikimedia.org/wikipedia/commons/c/c5/Kargilwarmemorialdarss3.jpg,3050,34.4333,75.75
Northern,Ladakh,Dras,Dras War Memorial,War Memorial,0,Historical,https://upload.wikimedia.org/wikipedia/commons/c/c5/Kargilwarmemorialdarss3.jpg,3050,34.4333,75.75
Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/PremMandirSideViewFromCanteen.jpg/800px-PremMandirSideViewFromCanteen.jpg,3050,27.5725,77.6725
Central,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,0,Historical,https://faujitoursandtravels.com/wp-content/uploads/2024/08/kirti-mandir-scaled.jpg,3050,22.3075,73.19
Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/7/74/Radharani_Temple_Barsana_2.jpg,3050,27.65,77.38
Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,0,Religious,https://cdn.britannica.com/66/250066-050-B34A9532/Brihadishvara-Temple-Thanjavur-Tamil-Nadu-India.jpg,3050,10.7869,79.1378
Eastern,Sikkim,Ravangla,Buddha Park,Park,50,Cultural,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ef/73/74/awesomeness-overloaded.jpg?w=900&h=500&s=1,5000,17.9123,102.7654
Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,0,Nature,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/89/e9/f8/radhanagar-beach.jpg?w=900&h=500&s=1,3050,11.9667,92.9333
Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Front_view_of_Gurudwara_Bangla_Sahib%2C_Delhi.jpg/800px-Front_view_of_Gurudwara_Bangla_Sahib%2C_Delhi.jpg,3050,28.627,77.2089
Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,0,Religious,https://badrinath-kedarnath.gov.in/css_js_2024/img/kedarnath-4k.jpg,3050,30.7352,79.0669
Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/5/53/Mahalaxmi_Temple%2C_Kolhapur.jpg,2050,18.9823,72.817
Southern,Telangana,Hyderabad,Birla Mandir,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/3/3c/Birla_Mandir%2C_Hyderabad.png,3050,26.9124,75.813
Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Dakhineshwar_Temple_beside_the_Hoogly%2C_West_Bengal.JPG/800px-Dakhineshwar_Temple_beside_the_Hoogly%2C_West_Bengal.JPG,4050,22.6558,88.3622
Eastern,West Bengal,Kolkata,Belur Math,Site,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Belur_Math%2C_Howrah.jpg/1200px-Belur_Math%2C_Howrah.jpg,4050,22.6326,88.357
Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/a/a2/Dwarkadheesh_temple.jpg,2050,22.2446,68.9688
Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/d/d2/Sree_Padmanabhaswamy_temple_01.jpg,3050,8.4826,76.9485
Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,0,Historical,https://www.dailyartmagazine.com/wp-content/uploads/2020/08/stone-chariot-hampi-tourism-entry-fee-timings-holidays-reviews-header-1024x512.jpg,3050,15.335,76.46
Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,0,Religious,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/73/8a/ad/murudeshwar.jpg?w=1200&h=1200&s=1,3050,14.094,74.484
Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,15,Religious,https://media.meer.com/attachments/f7d6921ad0115a039e4a410081b28c60ab3f1564/store/fill/1090/613/b732c147bc434b3a19581501d1cbdcce7757cfefe3a28a417e8e9f9c9e03/An-entrance-into-the-Hoysaleshwara-temple-in-Halebidu.jpg,4000,13.2167,75.9833
Western,Maharastra,Shirdi,Sai Baba Temple,Temple,0,Religious,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/ab/9c/b1/shirdi-sai-baba-mandir.jpg?w=1200&h=-1&s=1,2050,19.7644,74.475
Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,0,Religious,https://www.ganpatipule.co.in/images/slider/5.jpg,2050,17.148,73.276
Western,Maharashtra,Ajanta,Ellora Caves,Cave,30,Historical,https://whc.unesco.org/uploads/thumbs/site_0243_0001-1200-630-20151104152442.jpg,3000,20.0268,75.1794
Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,40,Cultural,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Khajuraho_Group_of_Monuments_4.jpg/1200px-Khajuraho_Group_of_Monuments_4.jpg,4000,24.851,79.933
Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,30,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/East_Gateway_-_Stupa_1_-_Sanchi_Hill_2013-02-21_4398.JPG/250px-East_Gateway_-_Stupa_1_-_Sanchi_Hill_2013-02-21_4398.JPG,4000,23.479,77.739
Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,0,Recreational,https://cdn.prod.website-files.com/5ebb1b2c07f0f111e4ac241c/657afea045f2033b23a92839_ridge.webp,3050,31.1048,77.1734
Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,0,Religious,https://customtoursindia.com/wp-content/uploads/2024/07/Visiting-Dharamshala-Home-of-the-Dalai-Lama-in-India.webp,3050,32.242,76.321
Northern,Himachal Pradesh,Barot,Barot Valley,Valley,0,Nature,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/e7/15/ff/barot-valley-view.jpg?w=900&h=500&s=1,3050,32,76.8333
Northern,Uttarakhand,Joshimath,Valley of Flowers,National Park,150,Nature,https://upload.wikimedia.org/wikipedia/commons/2/21/%28A%29_Valley_of_flowers%2C_Garhwal_Uttarakhand_India.jpg,4000,30.728,79.605
Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/f/ff/Kashi_Vishwanath.jpg,3050,25.3109,83.0095
Central,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,0,Religious,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/90/3e/20/img-20160817-122832-largejpg.jpg?w=1200&h=1200&s=1,3050,27.4956,77.6737
Northern,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/c/c8/Vaishno_devi.jpg,3050,33.027,74.949
Northern,Ladakh,Leh,Thiksey Monastery,Monastery,20,Religious,https://upload.wikimedia.org/wikipedia/commons/e/e5/Thikse_Monastery_.jpg,4000,34.056,77.633
Northern,Ladakh,Diskit,Diskit Monastery,Monastery,20,Religious,https://upload.wikimedia.org/wikipedia/commons/1/16/Diskit_Gompa_2.jpg,4000,34.5411,77.5603
Northern,Ladakh,Leh,Thiksey Monastery,Monastery,30,Religious,https://upload.wikimedia.org/wikipedia/commons/e/e5/Thikse_Monastery_.jpg,4000,34.0538,77.6667
Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/4/4e/Kankalitala_Temple_complex%2C_Birbhum%2C_West_Bengal_05.jpg,4050,23.7147,87.7228
Eastern,Odisha,Puri,Jagannath Temple,Temple,0,Religious,http://pujacraft.com/cdn/shop/articles/PTI04_24_2021_000120A_1619272465136_1641572422757.webp?v=1686066690,4050,19.8028,85.8177
Eastern,Odisha,Konark,Sun Temple,Temple,40,Historical,https://upload.wikimedia.org/wikipedia/commons/4/47/Konarka_Temple.jpg,5000,19.8874,86.0946
Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,0,Religious,https://lookaside.instagram.com/seo/google_widget/crawler/?media_id=3539467584758186787,3050,9.9195,78.1193
Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/4/46/Maruthamalai_Rajagopuram_1.jpg,3050,11.0477,76.8646
Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/4/44/Le_temple_de_Shiva_Nataraja_%28Chidambaram%2C_Inde%29_%2814037020332%29.jpg,3050,11.3994,79.6933
Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/b/ba/Kanakadurga_Temple_gopuram.jpg,3050,16.519,80.6215
Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/c/c0/Srisailam.jpg,3050,16.0733,78.8687
Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,0,Religious,https://s7ap1.scene7.com/is/image/incredibleindia/amaralingeshwara-temple-amaravati-andhra-pradesh-1-attr-hero?qlt=82&ts=1726743722820,3050,16.573,80.3575
Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,0,Religious,https://upload.wikimedia.org/wikipedia/commons/d/da/Sri_Sathya_Sai_Baba_Mahasamadhi_at_Sai_Kulwant_Hall.jpg,3050,14.1652,77.8117
Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/1/18/Simhachalam_temple_from_a_hilltop.jpg,3050,17.7669,83.2484
Eastern,Sikkim,Namchi,Char Dham,Religious Complex,50,Religious,https://www.dealswithai.com/assets/images/2024-05-29-02-01-11-Chardham-Yatra.jpg,5000,30.73,79.07
North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,0,Historical,https://upload.wikimedia.org/wikipedia/commons/7/79/Siva_Dol.JPG,3550,26.9883,94.6331
North Eastern,Assam,Majuli,Majuli Island,River Island,0,Cultural,https://upload.wikimedia.org/wikipedia/commons/c/cb/Doriya_River_of_Majuli.jpg,3550,26.954,94.145
North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,0,Religious,https://upload.wikimedia.org/wikipedia/commons/2/2a/Tawang_Monastery_%28Tibetan_Buddhist%29.jpg,3550,27.586,91.865
Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,30,Historical,https://upload.wikimedia.org/wikipedia/commons/f/fe/Front_View_of_Cellular_Jail%2C_Port_Blair.JPG,4000,11.673,92.7416
Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/e/e2/Baba_Dham.jpg,4050,24.485,86.695
Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,0,Religious,https://whc.unesco.org/uploads/thumbs/site_1056_0001-750-750-20120601152647.jpg,4050,24.695,84.991
Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,0,Religious,https://tourism.bihar.gov.in/content/dam/bihar-tourism/images/category_a/patna/takht_sri_harmandir_sahib/20.%20Takhat-Sri-Harimandir-Ji.jpg/jcr:content/renditions/cq5dam.web.480.480.jpeg,4050,25.59598,85.23
Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,0,Entertainment,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/b8/e2/a4/photo5jpg.jpg?w=1200&h=-1&s=1,3050,28.49792,77.08869
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ramanathaswamy_temple7.JPG/1200px-Ramanathaswamy_temple7.JPG,3050,9.28811,79.31728
Northern,Delhi,Delhi,India Gate,War Memorial,0,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/India_Gate_on_the_evening_of_77th_Independence_day.jpg/640px-India_Gate_on_the_evening_of_77th_Independence_day.jpg,3050,28.61289,77.22945
Northern,Delhi,Delhi,Akshardham Temple,Temple,60,Religious,https://i0.wp.com/singhruby.com/wp-content/uploads/2016/01/akshardham_facts_and_figure_banner.jpg,4000,28.6125,77.276
Northern,Delhi,Delhi,Sunder Nursery,Park,0,Botanical,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Sunder_Nursery_Sep-2019.jpg/1200px-Sunder_Nursery_Sep-2019.jpg,3050,28.6125,77.276
Western,Maharastra,Mumbai,Gateway of India,Monument,0,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Mumbai_03-2016_30_Gateway_of_India.jpg/800px-Mumbai_03-2016_30_Gateway_of_India.jpg,2050,18.92206,72.83464
Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,500,Historical,https://upload.wikimedia.org/wikipedia/commons/7/79/Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya.jpg,3000,18.92739,72.83205
Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,0,Architectural,https://upload.wikimedia.org/wikipedia/commons/1/11/Vidhana_Soudha%2C_14_February_2022_-_cropped.jpg,3050,12.97972,77.59061
Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/1/11/ISKCON_Banglaore_Temple.jpg,3050,13.01009,77.55106
Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,30,Historical,https://upload.wikimedia.org/wikipedia/commons/7/72/Victoria_Memorial_situated_in_Kolkata.jpg,5000,22.54489,88.34167
Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,0,Architectural,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Howrah_bridge_at_night.jpg/1200px-Howrah_bridge_at_night.jpg,4050,22.59577,88.26364
Eastern,West Bengal,Kolkata,Indian Museum,Museum,50,Historical,https://upload.wikimedia.org/wikipedia/commons/8/8c/Indian_Museum%2C_Courtyard%2C_Kolkata%2C_India.jpg,5000,22.9375,88.36389
Southern,Goa,Goa,Dudhsagar Falls,Waterfall,500,Nature,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Doodhsagar_Fall.jpg/1200px-Doodhsagar_Fall.jpg,4000,15.1708,74.0952
Southern,Goa,Goa,Arambol Beach,Beach,0,Scenic,https://upload.wikimedia.org/wikipedia/commons/a/ab/Arambol_2022-01-04-2.jpg,3050,15.6868,73.7036
Southern,Goa,Goa,Palolem Beach,Beach,0,Scenic,https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg,3050,15,74.0833
Western,Gujarat,Bhuj,White Desert,Site,0,Nature,https://upload.wikimedia.org/wikipedia/commons/4/4a/Al_Farafrah%2C_New_Valley_Governorate%2C_Egypt_-_panoramio_%2821%29.jpg,2050,23.7317,69.6886
Western,Gujarat,Kevadia,Statue of Unity,Monument,150,Cultural,https://upload.wikimedia.org/wikipedia/commons/0/07/Statue_of_Unity.jpg,3000,21.83874,73.71931
Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,500,Wildlife,https://www.tripsavvy.com/thmb/dV7zQhV4qJ_mPL8AmzjenGByzk8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/tres-bengala-tigres-en-frente-de-turista-de-520373860-735d4cd8c3b147d98cce1f158d0eefab.jpg,4000,25.0115,76.3645
Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,0,Religious,https://d2dzi65yjecjnt.cloudfront.net/405980.jpg,3050,26.4715,74.6318
Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,100,Historical,https://cdn.britannica.com/39/242539-050-97AFAE4E/Mehrangarh-fortress-Jodhpur-Rajasthan-India.jpg,4000,26.2945,73.0325
Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,40,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Chittorgarh_fort.JPG/1200px-Chittorgarh_fort.JPG,4000,24.879,74.626
Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/8/81/Delwada.jpg,3050,24.586,72.716
Northern,Rajasthan,Jaipur,Amber Fort,Fort,100,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/20191219_Fort_Amber%2C_Amer%2C_Jaipur_0955_9481.jpg/800px-20191219_Fort_Amber%2C_Amer%2C_Jaipur_0955_9481.jpg,4000,26.9855,75.8519
Northern,Rajasthan,Udaipur,Lake Pichola,Lake,0,Nature,https://upload.wikimedia.org/wikipedia/commons/d/d2/Udaipur_Lake_India.JPG,3050,24.5775,73.671
Southern,Kerala,Varkala,Varkala Beach,Beach,0,Recreational,https://upload.wikimedia.org/wikipedia/commons/e/e0/Varkala_beach_from_above.jpg,3050,8.7415,76.595
Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,750,Entertainment,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/b4/a3/72/flash-tower-is-a-shoot.jpg?w=1200&h=1200&s=1,4000,13.078,77.529
Southern,Karnataka,Mysore,Mysore Palace,Palace,50,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Mysore_Palace_Morning.jpg/1200px-Mysore_Palace_Morning.jpg,4000,12.305,76.655
Southern,Karnataka,Badami,Badami Cave Temples,Cave,30,Religious,https://upload.wikimedia.org/wikipedia/commons/7/7b/Vishnu_image_inside_cave_number_3_in_Badami.jpg,4000,15.925,75.699
Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,30,Nature,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Jog_Falls_05092016.jpg/1200px-Jog_Falls_05092016.jpg,4000,14.216,74.625
Western,Maharastra,Aurangabad,Ajanta Caves,Cave,30,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Ajanta_%2863%29.jpg/300px-Ajanta_%2863%29.jpg,3000,20.549,75.7
Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,0,Recreational,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/19/79/56/tarkarli-beach.jpg?w=1200&h=1200&s=1,2050,16.017,73.5
Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,15,Nature,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/33/53/06/photo0jpg.jpg?w=900&h=500&s=1,4000,22.457,77.616
Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,25,Archaeological,https://upload.wikimedia.org/wikipedia/commons/9/91/Rock_Shelter_8%2C_Bhimbetka_02.jpg,4000,23.253,77.63
Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,0,Agricultural,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/e9/52/a2/sunset-at-tata-tea-gardens.jpg?w=1200&h=-1&s=1,3050,32.1188,76.5396
Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,0,Nature,https://upload.wikimedia.org/wikipedia/commons/7/75/Prashar_Lake_and_temple_%2CMandi_%2CHimachal_Pardesh.jpg,3050,31.7544,77.1011
Northern,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,0,Religious,https://upload.wikimedia.org/wikipedia/commons/c/c7/Outer_view_of_the_temple%27s_hot_water_well_and_the_parvati_river_flowing_by_it.jpg,3050,32.0279,77.3589
Central,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,50,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Taj_Mahal_%28Edited%29.jpeg/640px-Taj_Mahal_%28Edited%29.jpeg,4000,27.1767,78.0081
Central,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,5,Historical,https://upload.wikimedia.org/wikipedia/commons/0/02/Dhamek_Stupa%2C_Sarnath.jpg,4000,25.3808,83.0245
Northern,Jammu and Kashmir,Srinagar,Dal Lake,Lake,0,Nature,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Dal_Lake_Hazratbal_Srinagar.jpg/800px-Dal_Lake_Hazratbal_Srinagar.jpg,3050,34.1167,74.8519
Northern,Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,100,Nature,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/71/3f/53/betaab-valley.jpg?w=1200&h=1200&s=1,4000,33.9333,75.3
Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,0,Architectural,https://upload.wikimedia.org/wikipedia/commons/0/07/Hanseswari_Mandir.jpg,4050,22.93,88.389
Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/8/83/LINGARAJ_TEMPLE_AMLAN_BISWAL_2024.jpg,4050,20.7984,85.8318
Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/b/bb/Taratarini_maa.jpg,4050,19.3122,84.9863
