zone,state,city,name,type,entrance_fee_in_inr,significance,image_url,total_cost,latitude,longitude
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ramanathaswamy_temple7.JPG/1200px-Ramanathaswamy_temple7.JPG,3050,9.2881,79.3173
Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,20,Historical,https://upload.wikimedia.org/wikipedia/commons/b/b6/RockMemorial.jpg,4000,8.0878,77.529
Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,40,Historical,https://upload.wikimedia.org/wikipedia/commons/7/74/Shore_Temple_-Mamallapuram_-Tamil_Nadu_-N-TN-C55.jpg,4000,12.6164,80.1986
Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/b/b8/Tirnelveli_Gandhimathiamman_Temple_Tower.JPG,3050,8.73,77.726
Southern,Andhra Pradesh,Anantapur,Lepakshi,Site,0,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Front_side_of_Veerabhadra_Temple%2C_Lepakshi.jpg/1200px-Front_side_of_Veerabhadra_Temple%2C_Lepakshi.jpg,3050,13.81,77.6
Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,40,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Submarine_Museum.JPG/1200px-Submarine_Museum.JPG,4000,17.693,83.296
Eastern,Sikkim,Pelling,Pemayangtse Monastery,Monastery,20,Religious,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/39/80/4e/pemayangtse-monastery.jpg?w=900&h=500&s=1,5000,27.2125,88.6111
Eastern,Sikkim,Gangtok,Rumtek Monastery,Monastery,10,Religious,https://upload.wikimedia.org/wikipedia/commons/e/e5/Vikramjit-Kakati-Rumtek.jpg,5000,27.2769,88.6025
North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Kamakhya_Temple%2C_Guwahati.jpg/1200px-Kamakhya_Temple%2C_Guwahati.jpg,3550,26.1145,91.7369
North Eastern,Assam,Manas,Manas National Park,National Park,500,Wildlife,https://upload.wikimedia.org/wikipedia/commons/d/d8/Manas_National_Park.jpg,4500,26.6,90.5
Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,0,Nature,https://upload.wikimedia.org/wikipedia/commons/9/91/Chitrakot_waterfalls.JPG,3050,19.29,81.7333
Western,Daman and Diu,Diu,Diu Fort,Fort,0,Historical,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/53/f4/8e/beutiful-place.jpg?w=900&h=500&s=1,2050,20.713,70.982
Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/0/0d/Pahari_Mandir_-_Ranchi_Hill_9243.JPG,4050,23.358,85.33
Northern,Haryana,Gurugram,Ambience Mall,Mall,0,Shopping,https://upload.wikimedia.org/wikipedia/commons/6/62/Mango_atrium_at_Ambience_Mall%2C_Gurgaon.jpg,3050,28.4595,77.0841
Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,0,Shopping,https://upload.wikimedia.org/wikipedia/commons/3/3f/DLF_Mall_of_India.jpg,3050,28.5615,77.3246
Northern,Delhi,Delhi,Humayun's Tomb,Tomb,30,Historical,https://whc.unesco.org/uploads/thumbs/site_0232_0005-750-750-20210425155601.jpg,4000,28.593,77.25
Northern,Delhi,Delhi,Lotus Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/LotusDelhi.jpg/800px-LotusDelhi.jpg,3050,28.5535,77.2588
Northern,Delhi,Delhi,Red Fort,Fort,35,Historical,https://cdn.britannica.com/20/189820-050-D650A54D/Red-Fort-Old-Delhi-India.jpg,4000,28.6562,77.241
Northern,Delhi,Delhi,Lodhi Garden,Park,0,Botanical,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/14/cf/80/lodi-gardens.jpg?w=1200&h=1200&s=1,3050,28.5915,77.224
Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,20,Artistic,https://upload.wikimedia.org/wikipedia/commons/3/31/Jaipur_House_Delhi.jpg,4000,28.6125,77.2295
Northern,Delhi,Delhi,Qutub Minar,Monument,35,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Qutb_Minar_2011.jpg/200px-Qutb_Minar_2011.jpg,4000,28.5245,77.1855
Western,Maharastra,Mumbai,Marine Drive,Promenade,0,Scenic,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Marine_Drive_Skyline.jpg/800px-Marine_Drive_Skyline.jpg,2050,18.94,72.8258
Southern,Telangana,Hyderabad,Charminar,Landmark,25,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Charminar_Hyderabad_1.jpg/800px-Charminar_Hyderabad_1.jpg,4000,17.3616,78.4747
Southern,Goa,Goa,Basilica of Bom Jesus,Church,0,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Basilica_of_bom_jesus_-_Front_View.jpg/1200px-Basilica_of_bom_jesus_-_Front_View.jpg,3050,15.49,73.812
Southern,Goa,Goa,Se Cathedral,Church,0,Historical,https://upload.wikimedia.org/wikipedia/commons/7/72/Se%E2%80%99_Cathedral%2C_Goa.jpg,3050,15.49,73.812
Southern,Goa,Goa,Baga Beach,Beach,0,Scenic,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/3e/36/95/baga-sea-beach.jpg?w=1200&h=-1&s=1,3050,15.552,73.743
Southern,Goa,Goa,Aguada Beach,Beach,0,Scenic,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/30/bd/4c/photo2jpg.jpg?w=1200&h=-1&s=1,3050,15.535,73.746
Western,Gujarat,Junagadh,Gir National Park,National Park,3500,Wildlife,https://upload.wikimedia.org/wikipedia/commons/9/90/Gir_lion-Gir_forest%2Cjunagadh%2Cgujarat%2Cindia.jpeg,6200,20.951,70.69
Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,0,Historical,https://dandi-kutir.com/wp-content/uploads/2023/07/Picture2.jpg,2050,23.184,72.671
Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,50,Historical,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/38/91/24/outside-of-the-fort.jpg?w=900&h=-1&s=1,4000,28.022,73.312
Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,35,Historical,https://upload.wikimedia.org/wikipedia/commons/3/34/Rajasthan-Jaipur-Jaigarh-Fort-compound-Apr-2004-00.JPG,4000,26.9855,75.8519
Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,30,Artistic,https://www.thespruce.com/thmb/tO_j4ToZ8KXEhNAzpS0atlzCF2M=/2048x0/filters:no_upscale():max_bytes(150000):strip_icc()/how-to-build-rock-gardens-2132674-hero-0ca8dc4580c9495c8fea6ed3db29f92f.jpg,4000,30.7357,76.818
Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,0,Recreational,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Alleppey_beach.jpg/1200px-Alleppey_beach.jpg,3050,9.5,76.35
Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,300,Wildlife,https://upload.wikimedia.org/wikipedia/commons/1/11/Wayanad_Wild_Life_Sanctuary.JPG,4000,11.7167,76.0144
Southern,Kerala,Bekal,Bekal Fort,Fort,20,Historical,https://upload.wikimedia.org/wikipedia/commons/7/74/Bekal.jpg,4000,12.6333,75.0833
Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,0,Nature,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/4e/3a/91/seethargundu-viewpoint.jpg?w=1200&h=1200&s=1,3050,10.2033,77.0167
Southern,Karnataka,Gokarna,Om Beach,Beach,0,Nature,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/53/5e/7f/om-beach.jpg?w=900&h=500&s=1,3050,14.555,74.312
Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,0,Nature,https://i0.wp.com/weekendyaari.in/wp-content/uploads/2024/11/Mullayanagiri-scaled.webp?fit=2560%2C1322&ssl=1,3050,13.3986,75.6167
Southern,Karnataka,Mangalore,Panambur Beach,Beach,0,Recreational,https://karnatakatourism.org/wp-content/uploads/2020/06/Panambur-Beach-800x450-1.jpg,3050,12.876,74.858
Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,20,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Gol_Gumbaj2.JPG/640px-Gol_Gumbaj2.JPG,4000,16.8292,75.7139
Western,Maharastra,Nagpur,Deekshabhoomi,Monument,0,Religious,https://upload.wikimedia.org/wikipedia/commons/3/38/Deekshabhoomi_-_panoramio.jpg,2050,21.1469,79.0882
Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,75,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Gwalior_Fort_front.jpg/1200px-Gwalior_Fort_front.jpg,4000,26.2183,78.1828
Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,0,Nature,https://upload.wikimedia.org/wikipedia/commons/d/d0/Dhuandhar_Waterfalls_in_Bhedaghat%2C_India.jpg,3050,23.1783,79.9275
Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,100,Wildlife,https://upload.wikimedia.org/wikipedia/commons/1/1f/Tiger_Kanha_National_Park.jpg,4000,22.4269,80.3833
Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,50,Wildlife,https://www.bandhavgarh.net/wp-content/uploads/2023/03/bandhavgarh-national-park-gate.webp,4000,23.6917,81.0394
Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,0,Nature,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Khajjiar.jpg/1200px-Khajjiar.jpg,3050,32.5886,76.97
Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,50,Wildlife,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Himalayn_National_Park_01.jpg/1200px-Himalayn_National_Park_01.jpg,4000,32.0844,77.5822
Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,0,Nature,https://www.india.com/wp-content/uploads/2018/08/Sangla-Valley.jpg,3050,31.415,78.3667
Northern,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,0,Nature,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/cd/de/8c/hatu-peak.jpg?w=1200&h=-1&s=1,3050,31.6033,77.4311
Northern,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,0,Religious,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Evening_view_of_Har-ki-Pauri%2C_Haridwar.jpg/640px-Evening_view_of_Har-ki-Pauri%2C_Haridwar.jpg,3050,29.9456,78.1642
Northern,Uttarakhand,Dehradun,Robber's Cave,Cave,25,Nature,https://d1pk12b7bb81je.cloudfront.net/thumbor/o351uGqYDHJbvUVOv7pk1r1-SrE=/full-fit-in/800x800/https://d1pk12b7bb81je.cloudfront.net/okdataengine/appmedia/images/117/117542/Robbers%20Cave%20Oct%202019_LD_5283.jpeg.jpg,4000,30.314,78.122
Northern,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,0,Adventure,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/f5/86/af/cliff-top-club.jpg?w=1200&h=-1&s=1,3050,30.0996,79.5875
Central,Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,0,Religious,https://travelsetu.com/apps/uploads/new_destinations_photos/destination/2024/01/05/e5c371fa9c1bbfb486c1a85f7364cd2f_1000x1000.png,3050,25.4358,81.8463
Northern,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/6/66/Cave_Temple_of_Lord_Amarnath.jpg,3050,34.07,75.3667
Northern,Ladakh,Nubra Valley,Nubra Valley,Valley,0,Nature,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b9/e6/1c/nubra-valley.jpg?w=1200&h=-1&s=1,3050,34.35,78.5
Northern,Ladakh,Leh,Khardung La Pass,Hill,0,Adventure,https://peopleoftheplanet.com/wp-content/uploads/2018/10/the-highest-road-in-the-world-snow.png,3050,35.3997,77.5878
Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,0,Nature,https://upload.wikimedia.org/wikipedia/commons/d/d8/Tiger_Hill_Darjeeling_West_Bengal_India_%283%29.JPG,4050,27.031,88.264
Eastern,West Bengal,Digha,Digha Beach,Beach,0,Recreational,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/00/60/71/digha-beach.jpg?w=1200&h=1200&s=1,4050,21.621,87.523
Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,10,Historical,https://upload.wikimedia.org/wikipedia/commons/e/e8/Hazarduari01_debaditya_chatterjee.jpg,5000,24.195,88.271
Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,20,Historical,https://upload.wikimedia.org/wikipedia/commons/8/81/The_Cooch_Behar_Palace_or_the_Cooch_Behar_Rajbari%2C_Cooch_Behar_District%2C_West_Bengal%2C_India_01.jpg,5000,26.3272,89.448
Eastern,West Bengal,Purulia,Ayodhya Hills,Hill,0,Nature,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/7c/8f/6f/ajodhya-hill-area.jpg?w=1200&h=1200&s=1,4050,23.717,85.314
Eastern,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,0,Nature,https://upload.wikimedia.org/wikipedia/commons/6/68/Khandadhar_Waterfall.jpg,4050,21.9072,84.8592
Eastern,Odisha,Cuttack,Barabati Fort,Fort,0,Historical,https://upload.wikimedia.org/wikipedia/commons/9/95/Entrance_of_Barabati_fort.jpg,4050,20.462,85.882
Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,0,Engineering Marvel,https://upload.wikimedia.org/wikipedia/commons/0/00/Hirakud_Dam.jpg,4050,21.46,83.97
Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,0,Recreational,https://upload.wikimedia.org/wikipedia/commons/a/a5/Rushikonda_beach_view_001.jpg,3050,17.725,83.313
Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,0,Historical,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/4a/20/f2/grand-canyon-of-india.jpg?w=1200&h=1200&s=1,3050,14.8134,78.2848
Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,0,Recreational,https://upload.wikimedia.org/wikipedia/commons/7/7a/Kailasagiri.jpg,3050,17.7358,83.3094
Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,60,Natural Wonder,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/9d/80/6a/borra-caves.jpg?w=1200&h=1200&s=1,4000,18.167,83
North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,650,Wildlife,https://upload.wikimedia.org/wikipedia/commons/f/fe/Beauty_of_Kaziranga_National_Park.jpg,4500,26.655,93.16
North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/c/c7/Hagriva_Madhava_Temple_side_view2.jpg,3550,26.65,93.15
North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,10,Historical,https://upload.wikimedia.org/wikipedia/commons/c/c8/Ujjayanta_palace_Tripura_State_Museum_Agartala_India.jpg,4500,23.831,91.286
North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,0,Nature,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/9e/e0/9c/dumbor-lake.jpg?w=1200&h=-1&s=1,3550,23.35,91.6
North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,20,Historical,https://upload.wikimedia.org/wikipedia/commons/f/f0/Unakoti_3.jpg,4500,24.65,92.8
Southern,Puducherry,Puducherry,Promenade Beach,Beach,0,Recreational,https://static.toiimg.com/photo/48552994.cms,3050,11.934,79.83
Southern,Puducherry,Puducherry,Paradise Beach,Beach,200,Recreational,https://www.paradisebeachcozumel.com/sites/default/files/styles/565_675_focal_point/public/2024-01/sup-fun-pass-paradise-beach-cozumel.png.webp?itok=yJHeAnrJ,4000,11.937,79.821
Southern,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,0,Nature,http://be.discoverandaman.in/storage/uploads/2024/2/8e7965b3-74e6-478a-bcda-088346037edd.jpeg,3050,13.467,92.766
Western,Daman and Diu,Diu,Naida Caves,Cave,0,Nature,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a3/00/53/img-20161116-140018-largejpg.jpg?w=1200&h=-1&s=1,2050,20.711,70.981
Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,890,Entertainment,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/b4/a3/72/flash-tower-is-a-shoot.jpg?w=1200&h=1200&s=1,4068,12.913,77.552
Northern,Delhi,Delhi,National Science Centre,Science,70,Scientific,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/a7/60/38/nice-experience.jpg?w=1200&h=1200&s=1,4000,28.612,77.229
Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,0,Religious,https://upload.wikimedia.org/wikipedia/commons/c/ca/Mumbai_03-2016_12_Haji_Ali_Dargah.jpg,2050,18.938,72.823
Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,20,Nature,https://upload.wikimedia.org/wikipedia/commons/d/d5/Glasshouse_and_fountain_at_lalbagh.jpg,4000,12.95,77.584
Southern,Karnataka,Bangalore,Cubbon Park,Park,0,Nature,https://travelsetu.com/apps/uploads/new_destinations_photos/destination/2023/12/22/b22be5abb14d39eb918bf2f3e91af4de_1000x1000.jpg,3050,12.976,77.593
Southern,Telangana,Hyderabad,Golconda Fort,Fort,30,Historical,https://upload.wikimedia.org/wikipedia/commons/5/56/Golconda_Fort_005.jpg,4000,17.3833,78.4016
Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1150,Entertainment,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Ramoji_Film_City.jpg/800px-Ramoji_Film_City.jpg,4380,17.25,78.6833
Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,20,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Salar_Jung_Museum%2C_Hyderabad%2C_India.jpg/800px-Salar_Jung_Museum%2C_Hyderabad%2C_India.jpg,4000,17.3619,78.4747
Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,25,Historical,https://upload.wikimedia.org/wikipedia/commons/0/08/Qutb_Shahi_Tomb_5.jpg,4000,17.365,78.402
Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,80,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Chowmahalla_Palace_01.jpg/800px-Chowmahalla_Palace_01.jpg,4000,17.3667,78.475
Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,0,Religious,https://www.templepurohit.com/wp-content/uploads/2015/01/Kalighat-Kali-Temple-Kolkata.jpg,4050,22.52,88.355
Eastern,West Bengal,Kolkata,Science City Kolkata,Science,60,Educational,https://upload.wikimedia.org/wikipedia/commons/0/03/Science_City_Kolkata_4643.JPG,5000,22.569,88.384
Eastern,West Bengal,Kolkata,Marble Palace,Palace,0,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Marble_Palace-_Kolkata-_West_Bengal-_DSC_0006.jpg/1200px-Marble_Palace-_Kolkata-_West_Bengal-_DSC_0006.jpg,4050,22.5667,88.3583
Southern,Goa,Goa,Calangute Beach,Beach,0,Scenic,https://s7ap1.scene7.com/is/image/incredibleindia/calangute-beach-goa-7-musthead-hero?qlt=82&ts=1726735078814,3050,15.552,73.743
Southern,Goa,Goa,Anjuna Beach,Beach,0,Scenic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Anjuna_Beach%2C_Goa%2C_India%2C_Legendary_Curlies_beach_shack.jpg/640px-Anjuna_Beach%2C_Goa%2C_India%2C_Legendary_Curlies_beach_shack.jpg,3050,15.551,73.743
Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,200,Historical,https://upload.wikimedia.org/wikipedia/commons/b/bd/LakshmiVilas_Palace.jpg,3000,22.303,73.182
Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,50,Architectural,https://upload.wikimedia.org/wikipedia/commons/4/41/East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg,4000,26.9238,75.8267
Northern,Rajasthan,Udaipur,City Palace,Palace,300,Historical,https://upload.wikimedia.org/wikipedia/commons/a/a4/Chandra_Mahal%2C_City_Palace%2C_Jaipur%2C_20191218_0951_9043.jpg,4000,26.924,75.8267
Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,50,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Jaisalmer_forteresse.jpg/1200px-Jaisalmer_forteresse.jpg,4000,26.9124,70.9176
Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,0,Religious,https://upload.wikimedia.org/wikipedia/commons/c/c3/Evening_lights_by_the_Pushkar_Lake%2C_Pushkar.jpg,3050,26.489,74.551
Southern,Kerala,Kochi,Fort Kochi,Site,0,Historical,https://upload.wikimedia.org/wikipedia/commons/6/6e/Kochi%2C_Fishing_nets_at_sunset%2C_Kerala%2C_India.jpg,3050,9.965,76.221
Southern,Kerala,Kovalam,Kovalam Beach,Beach,0,Recreational,https://upload.wikimedia.org/wikipedia/commons/3/3c/Kovalam_beach_trivandrum_kerala.jpg,3050,8.398,77.035
Southern,Kerala,Kannur,St. Angelo Fort,Fort,20,Historical,https://upload.wikimedia.org/wikipedia/commons/6/65/Malta_-_Birgu_-_Fort_Saint_Angelo_%28Upper_Barrakka_Gardens%29_01_ies.jpg,4000,11.868,75.355
Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,100,Cultural,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/17/1c/49/anthropology-and-ethnography.jpg?w=1200&h=1200&s=1,4000,9.981,76.283
Southern,Karnataka,Bandipur,Bandipur National Park,National Park,300,Wildlife,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/7c/47/ec/tiger-26-largejpg.jpg?w=1200&h=-1&s=1,4000,11.635,76.533
Western,Maharastra,Pune,Shaniwar Wada,Fort,50,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Shaniwar_wada_%28pune%29.jpg/1200px-Shaniwar_wada_%28pune%29.jpg,3000,18.5204,73.8567
Western,Maharastra,Lonavala,Karla Caves,Cave,25,Historical,https://upload.wikimedia.org/wikipedia/commons/f/ff/Karla_caves_Chaitya.jpg,3000,18.762,73.747
Western,Maharashtra,Satara,Kaas Plateau,Valley,300,Nature,https://upload.wikimedia.org/wikipedia/commons/2/21/Kaas-7016.jpg,3000,17.7251,73.8253
Western,Maharashtra,Matheran,Echo Point,Viewpoint,0,Nature,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/fc/90/4a/viewing-platform-from.jpg?w=1200&h=-1&s=1,2050,10.0206,77.053
Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,10,Historical,https://upload.wikimedia.org/wikipedia/commons/e/e1/Indore_Rajwada01.jpg,4000,22.7184,75.8552
Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,0,Religious,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/bb/f0/f6/photo.jpg?w=1200&h=-1&s=1,3050,22.9732,81.7551
Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,0,Nature,https://upload.wikimedia.org/wikipedia/commons/9/91/Chitrakot_waterfalls.JPG,3050,19.2065,81.6999
Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,0,Recreational,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/9f/79/82/chamera-lake-also-known.jpg?w=1200&h=-1&s=1,3050,32.5972,75.9858
Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,150,Historical,https://upload.wikimedia.org/wikipedia/commons/f/f0/Kangra_Fort_%2CHimachal_Pradesh_06.jpg,4000,32.0998,76.2691
Northern,Himachal Pradesh,Shoja,Serolsar Lake,Lake,0,Nature,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/f9/d3/3f/lake.jpg?w=1200&h=-1&s=1,3050,31.569,77.37
Northern,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,0,Cultural,https://upload.wikimedia.org/wikipedia/commons/7/75/Rishikesh-Lakshman_Jhula_by_Kaustubh_Nayyar.jpg,3050,30.1206,78.3087
Northern,Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,100,Wildlife,https://upload.wikimedia.org/wikipedia/commons/7/78/Bengal-Tiger_Corbett_Uttarakhand_Dec-2013.jpg,4000,29.5486,78.9353
Central,Uttar Pradesh,Lucknow,Bara Imambara,Monument,50,Historical,https://static.toiimg.com/thumb/103890956/Bara-Imambara.jpg?width=1200&height=900,4000,26.8606,80.916
Central,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,15,Historical,https://upload.wikimedia.org/wikipedia/commons/e/e8/Jhansi_Fort.jpg,4000,25.4581,78.5754
Central,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,40,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Fatehput_Sikiri_Buland_Darwaza_gate_2010.jpg/800px-Fatehput_Sikiri_Buland_Darwaza_gate_2010.jpg,4000,27.0943,77.6627
Northern,Ladakh,Hemis,Hemis National Park,National Park,20,Wildlife,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/13-10-08_217_CONFLUENCE_OF_INDUS_RIVER_N.jpg/1200px-13-10-08_217_CONFLUENCE_OF_INDUS_RIVER_N.jpg,4000,33.854,77.702
