zone,state,city,name,type,entrance_fee_in_inr,significance,image_url,total_cost,latitude,longitude
Eastern,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,250,Wildlife,https://upload.wikimedia.org/wikipedia/commons/f/f5/Elephant_safari.jpg,5000,26.538,89.383
Eastern,West Bengal,Sundarbans,Sundarbans National Park,National Park,60,Wildlife,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Sundarban_Tiger.jpg/1200px-Sundarban_Tiger.jpg,5000,21.9495,88.7465
Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,100,Wildlife,https://upload.wikimedia.org/wikipedia/commons/1/1f/Gorumara_Gateway_Arnab_Dutta.JPG,5000,26.968,88.732
Eastern,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,0,Nature,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/72/da/1c/sanaghagara-waterfall.jpg?w=1200&h=1200&s=1,4050,21.756,85.348
Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,65,Natural Wonder,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/1c/95/33/group-outing-belum-caves3.jpg?w=1200&h=-1&s=1,4000,15.785,78.073
Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,10,Wildlife,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/5f/02/90/uppalapadu-bird-sanctuary.jpg?w=1200&h=-1&s=1,4000,16.516,80.647
North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,500,Wildlife,https://upload.wikimedia.org/wikipedia/commons/8/82/Indian_Rhino_in_Pobitora.jpg,4500,26.299,92.398
Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,250,Nature,https://media.australian.museum/media/dd/images/Ishigaki_ishigakijima_limestone_cave.8181618.width-800.6104bde.jpg,4000,25.574,91.582
Eastern,Bihar,Patna,Budhha Smriti Park,Park,10,Cultural,https://upload.wikimedia.org/wikipedia/commons/1/1a/Buddha_Smriti_Park.jpg,5000,25.607,85.126
Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,1100,Entertainment,https://upload.wikimedia.org/wikipedia/commons/6/68/Culture_Gully_and_Nautanki_Mahal_auditorium%2C_Kingdom_of_Dreams%2C_Gurgaon.jpg,4320,28.4595,77.03
Northern,Rajasthan,Jaipur,City Palace,Palace,200,Historical,https://upload.wikimedia.org/wikipedia/commons/a/a4/Chandra_Mahal%2C_City_Palace%2C_Jaipur%2C_20191218_0951_9043.jpg,4000,26.924,75.8267
Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,50,Wildlife,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Entrance_of_Sanjay_Gandhi_National_Park.JPG/284px-Entrance_of_Sanjay_Gandhi_National_Park.JPG,3000,19.228,72.935
Western,Maharastra,Mumbai,Chowpatty Beach,Beach,0,Recreational,https://media.tacdn.com/media/attractions-splice-spp-674x446/0b/18/a0/dc.jpg,2050,18.939,72.814
Western,Maharastra,Mumbai,Essel World,Amusement Park,1149,Recreational,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Thunder%2C_Esselworld.jpg/1200px-Thunder%2C_Esselworld.jpg,3378.8,19.232,72.806
Western,Maharastra,Mumbai,Elephanta Caves,Monument,550,Historical,https://whc.unesco.org/uploads/thumbs/site_0244_0004-750-750-20100705114254.jpg,3000,18.9633,72.9314
Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,0,Scenic,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Buddha_statue_11102016.jpg/270px-Buddha_statue_11102016.jpg,3050,17.4239,78.4738
Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,25,Wildlife,https://www.getbengal.com/uploads/story_image/Alipore-Zoo-Born.jpg,5000,22.5359,88.332
Southern,Goa,Goa,Colva Beach,Beach,0,Scenic,https://upload.wikimedia.org/wikipedia/commons/0/06/Colv%C3%A1_beach.jpg,3050,15.2723,73.9171
Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,0,Nature,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/e9/52/a2/sunset-at-tata-tea-gardens.jpg?w=900&h=500&s=1,3050,10.0797,77.0614
Southern,Kerala,Thekkady,Periyar National Park,National Park,50,Wildlife,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Periyar_National_Park.JPG/800px-Periyar_National_Park.JPG,4000,9.55,77.25
Northern,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,150,Wildlife,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/07/0b/38/the-road-takes-you-deeper.jpg?w=1200&h=1200&s=1,4000,29.7064,79.7561
Central,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,30,Wildlife,https://upload.wikimedia.org/wikipedia/commons/0/0b/Okhla_bird_sanctuary_Entrance.jpeg,4000,28.5454,77.2833
Northern,Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,100,Wildlife,https://upload.wikimedia.org/wikipedia/commons/0/0b/Sunrise_in_Kishtwar_National_Park%2C_Jammu_and_Kashmir%2C_India.jpg,4000,33.6006,75.989
Eastern,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,0,Nature,https://upload.wikimedia.org/wikipedia/commons/5/55/Badaghagara_Kendujhar.jpg,4050,21.6089,85.5557
Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,0,Nature,https://papikondalu.net.in/assets/images/papikondalu-tour-1200x800.jpg,3050,17.25,81.5
Eastern,Sikkim,Gangtok,Nathula Pass,Hill,20,Historical,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/3c/94/7e/pass-of-listening-ears.jpg?w=900&h=500&s=1,5000,27.3864,88.8318
Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,30,Wildlife,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Sanjay_Gandhi_Jaivik_Udyan.jpg/1200px-Sanjay_Gandhi_Jaivik_Udyan.jpg,5000,25.5993,85.0988
Northern,Delhi,Delhi,Jantar Mantar,Observatory,15,Scientific,https://upload.wikimedia.org/wikipedia/commons/b/b8/Jantar_Mantar%2C_New_Delhi_%28Misra_Yantra%29.jpg,4000,28.6229,77.2099
Northern,Delhi,Delhi,Chandni Chowk,Market,0,Market,"https://media.cnn.com/api/v1/images/stellar/prod/gurudwara-sis-ganj-and-the-golden-mosque-next-to-it.jpg?c=16x9&q=h_833,w_1480,c_fill",3050,28.6505,77.23
Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,0,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Agrasen_ki_Baoli%2C_New_Delhi%2C_India_-_20070127.jpg/800px-Agrasen_ki_Baoli%2C_New_Delhi%2C_India_-_20070127.jpg,3050,28.634,77.219
Southern,Karnataka,Bangalore,Bangalore Palace,Palace,500,Historical,https://upload.wikimedia.org/wikipedia/commons/8/8f/Bangalore_Mysore_Maharaja_Palace.jpg,4000,12.998,77.571
Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,50,Wildlife,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/51/16/34/nehru-zoological-park.jpg?w=1200&h=-1&s=1,4000,17.352,78.474
Southern,Goa,Goa,Fort Aguada,Fort,0,Historical,https://upload.wikimedia.org/wikipedia/commons/a/ad/Fort_aguada.jpg,3050,15.519,73.802
Southern,Goa,Goa,Chapora Fort,Fort,0,Historical,https://upload.wikimedia.org/wikipedia/commons/3/35/Fort_Chapora_26012016.jpg,3050,15.535,73.736
Southern,Goa,Goa,Miramar Beach,Beach,0,Scenic,https://www.beachblueproperties.com/wp-content/uploads/2024/03/miramar_beach_shutterstock-1350x900.jpg,3050,15.498,73.812
Western,Maharastra,Alibaug,Alibaug Beach,Beach,0,Recreational,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/46/6b/0a/alibaug.jpg?w=1200&h=-1&s=1,2050,18.6,72.8833
Northern,Uttarakhand,Nainital,Naini Lake,Lake,0,Nature,https://upload.wikimedia.org/wikipedia/commons/2/28/The_Boat_and_The_Lake.jpg,3050,29.3916,79.454
Northern,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,15,Nature,https://www.justahotels.com/wp-content/uploads/2024/03/kempty-falls-scaled.jpeg,4000,30.4514,78.258
Central,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,150,Wildlife,https://upload.wikimedia.org/wikipedia/commons/d/d0/Oskanpur-2.jpg,4000,26.47,80.345
Eastern,Odisha,Balasore,Chandipur Beach,Beach,0,Recreational,https://static.toiimg.com/photo/47121490.cms,4050,21.49,87.073
Southern,Tamil Nadu,Yercaud,Yercaud Lake,Lake,0,Recreational,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/13/4d/52/20171022120346-img-1018.jpg?w=1200&h=-1&s=1,3050,11.7833,78.2167
Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,50,Environmental,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/aa/20/2c/made-by-cupboard-sheets.jpg?w=1200&h=-1&s=1,4000,28.5355,77.271
Northern,Delhi,Delhi,Garden of Five Senses,Park,35,Botanical,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/32/8b/e9/nipunsagarofficial-5.jpg?w=1200&h=-1&s=1,4000,28.5294,77.206
Southern,Telangana,Hyderabad,Lumbini Park,Park,20,Recreational,https://upload.wikimedia.org/wikipedia/commons/c/c2/Lumbini_Park%2C_Hyderabad.jpg,4000,17.426,78.475
Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,2500,Sports,https://upload.wikimedia.org/wikipedia/commons/7/73/%E0%A6%87%E0%A6%A1%E0%A7%87%E0%A6%A8_%E0%A6%97%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A1%E0%A7%87%E0%A6%A8%E0%A7%87_%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6_%E0%A6%93_%E0%A6%AA%E0%A6%BE%E0%A6%95%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0_%E0%A6%96%E0%A7%87%E0%A6%B2%E0%A6%BE_%E0%A7%AB.jpg,7000,22.56,88.351
Southern,Karnataka,Coorg,Abbey Falls,Waterfall,0,Nature,https://upload.wikimedia.org/wikipedia/commons/7/7a/Abbey_Falls_New.jpg,3050,12.426,75.748
Western,Maharastra,Nashik,Sula Vineyards,Vineyard,300,Recreational,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/3f/8e/3d/a-view-from-the-vineyards.jpg?w=1200&h=-1&s=1,3000,20.056,73.753
Northern,Himachal Pradesh,Manali,Solang Valley,Valley,0,Adventure,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/b2/79/37/solang-valley-manali.jpg?w=1200&h=-1&s=1,3050,32.322,77.21
Central,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,20,Historical,https://upload.wikimedia.org/wikipedia/commons/7/74/Aligarh_fort%2C_Aligarh.jpg,4000,27.897,78.08
Northern,Jammu and Kashmir,Udhampur,Patnitop Height,Hill,0,Recreational,https://r2imghtlak.mmtcdn.com/r2-mmt-htl-image/htl-imgs/201301031541242571-104aecda4fbc11e9a5c70242ac110003.jpg,3050,33.283,75.38
Central,Uttar Pradesh,Mathura,Nand Gaon,Village,0,Cultural,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a5/1d/8d/nandgaon-temple.jpg?w=900&h=500&s=1,3050,27.582,77.119
Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,10,Recreational,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/72/6e/a0/ooty-lake.jpg?w=1200&h=1200&s=1,4000,11.413,76.693
North Eastern,Assam,Guwahati,Umananda Island,Island,0,Nature,https://upload.wikimedia.org/wikipedia/commons/4/4b/Umananda_Island%2C_Guwahati_%284%29.jpg,3550,26.144,91.736
Southern,Puducherry,Auroville,Auroville,Township,0,Cultural,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Auroville.JPG/1200px-Auroville.JPG,3050,12,79.8
Northern,Uttarakhand,Ranikhet,Chaubatia Gardens,Orchard,50,Recreational,https://static.toiimg.com/photo/59142289.cms,4000,29.489,79.235
Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,0,Recreational,https://www.keralatourism.org/_next/image/?url=http%3A%2F%2F127.0.0.1%2Fktadmin%2Fimg%2Fpages%2Fmobile%2Fkozhikode-beach-1724136273_4f4e219404e64aa92290.webp&w=3840&q=75,3050,11.258,75.78
Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,50,Historical,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Front_view_of_Jahaz_Mahal%2C_Mehrauli.jpg/1200px-Front_view_of_Jahaz_Mahal%2C_Mehrauli.jpg,4000,23.185,77.53
Eastern,Odisha,Chilika,Chilika Lake,Lake,0,Nature,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Birds_eyeview_of_Chilika_Lake.jpg/640px-Birds_eyeview_of_Chilika_Lake.jpg,4050,19.798,85.555
Southern,Tamil Nadu,Chennai,Marina Beach,Beach,0,Recreational,https://upload.wikimedia.org/wikipedia/commons/d/d9/Chennai_-_bird%27s-eye_view.jpg,3050,13.067,80.282
Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,0,Recreational,https://upload.wikimedia.org/wikipedia/commons/c/c4/Kodaikanal_lake.jpg,3050,10.233,77.49
Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,50,Wildlife,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/33/ab/f4/les-sentiers.jpg?w=1200&h=-1&s=1,4000,9.6,76.533
Northern,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,1500,Recreational,https://i.ytimg.com/vi/W_7-8Bx9_Wk/maxresdefault.jpg,4800,31.098,77.4
Northern,Ladakh,Leh,Magnetic Hill,Gravity Hill,0,Nature,https://upload.wikimedia.org/wikipedia/commons/4/45/Magnetic_Hill%2C_Leh.jpg,3050,34.3,77.7
Western,Maharastra,Lonavala,Imagicaa,Amusement Park,1149,Recreational,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Adlabs_Imagica_2013_%2810364145606%29.jpg/1200px-Adlabs_Imagica_2013_%2810364145606%29.jpg,3378.8,18.938,73.251
Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Scenic Spot,0,Recreational,https://upload.wikimedia.org/wikipedia/commons/d/d0/Sabarmati_1_Madhur.jpg,100,23.0289,72.5727
Western,Gujarat,Ahmedabad,Dada Hari Wav,Historical Site,20,Architectural,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.gujarattourism.com%2Fcentral-zone%2Fahmedabad%2Fdada-harir-ni-vav.html&psig=AOvVaw1WzGPDt_ttWc1rxTHel3lp&ust=1743837300828000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCKjolqnqvYwDFQAAAAAdAAAAABAE,1050,23.0402692,72.605416
Western,Gujarat,Kevadia,Statue of Unity,Monument,150,Cultural,https://www.google.com/url?sa=i&url=http%3A%2F%2Fwww.soutickets.in%2F&psig=AOvVaw0uRqfLr1sypa6_MAUNfz9J&ust=1743837333649000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCNiGrrjqvYwDFQAAAAAdAAAAABAE,1050,21.8385,73.7193
Western,Gujarat,Ahmedabad,Swaminarayan Temple,Temple,0,Religious,https://www.seawatersports.com/images/places/swaminarayan-temple-in-gujarat.png,100,23.0298,72.5916
Western,Gujarat,Ahmedabad,Sabarmati Ashram,Museum,0,Historical,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6vZhVt77-o6JsZsSH_bFuZSvAxPo7wGbWjg&s,100,23.0607,72.5803
Western,Gujarat,Ahmedabad,Rani ki Vav,Stepwell,40,Architectural,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQr5pvfv7FakPI3_v-Akjk_BAPXNAlq8hAJYw&s,1050,23.8589,72.1019
Western,Gujarat,Ahmedabad,Adalaj Step Well,Stepwell,25,Architectural,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxpyFJN1T2srENNscC8fAO2pnOmcRDrT6zYw&s,1050,23.167,72.5802
Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,10,Recreational,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSV4EEoXQc2ak_HUiaBnCkcQ9LhSWZYFWtm7Q&s,1050,23.0063,72.6026
Western,Gujarat,Ahmedabad,Manek Chawk,Market,0,Food Street,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFA3Vt4DusRsfEfvouOx1YpKq0iU1zjgsxFw&s,100,23.0234,72.587
Western,Gujarat,Ahmedabad,Modhera Sun Temple,Temple,25,Architectural,"https://assets.architecturaldigest.in/photos/659561d70b94c63c3301b5ba/16:9/w_5472,h_3078,c_limit/22%2010%2013%20ILDL%20MODHERA%20SUN%20TEMPLE%20%C2%A9%20NOUGHTS%20AND%20CROSSES%20103_1.jpg",1050,23.5836,72.133
Western,Gujarat,Ahmedabad,Bhadra Fort & Teen Darwaza,Fort,0,Historical,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSI7Kmu-iRgIZaQbP0kzUw6ZyQUWfXkYoMBLg&s,100,23.0242,72.5846
Western,Gujarat,Ahmedabad,Jama Masjid,Mosque,0,Religious,https://hectindia.s3.amazonaws.com/0000/6/2024/04/21/jama-masjid-delhi-india.webp,100,23.023893,72.587129
Western,Gujarat,Ahmedabad,World Vintage Car Museum,Museum,100,Automobile History,https://images.overdrive.in/wp-content/uploads/2017/03/Auto-World-Ahmedabad-Bhogilal-Museum-3.jpg,1050,23.057348,72.6854
Western,Gujarat,Ahmedabad,Hathisingh Jain Temple,Temple,0,Religious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThPXgb14es4u4aQT6APrq0E2EI3ljwzrM8eA&s,100,23.0411,72.5895
Western,Gujarat,Ahmedabad,Law Garden Night Market,Market,0,Shopping,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdOqFzIoDnM8AVX1QV30UcMe0zVPWQVdFTKQ&s,100,23.0264,72.5608
Western,Gujarat,Ahmedabad,Sidi Saiyyed Mosque,Mosque,0,Architectural,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYH7dohvo69a0U-Ecv_sC9GkiA7-Kan_s0WQ&s,100,23.0271,72.581
Western,Gujarat,Ahmedabad,City Shopping,Market,0,Shopping,https://gujarat.mallsmarket.com/sites/default/files/photos/malls/10AcresMall-Ahmedabad-1.JPG,100,23.033863,72.585022
Western,Gujarat,Ahmedabad,Calico Textile Museum,Museum,0,Textile History,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRStc71PIhF6b_B2kJzo2eCNKBvOcnDSRjhg&s,100,23.0543,72.5922
Western,Gujarat,Ahmedabad,Sardar Vallabhai Patel National Museum,Museum,20,Historical,https://i.pinimg.com/736x/12/18/17/1218177a5a0fd67836e6246b3e4fa9ff.jpg,1050,23.0611,72.591
Western,Gujarat,Ahmedabad,Jhulta Minar,Monument,0,Architectural,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRvOmJd8HCQ9Z52CUh6EYA8lvGN37ES9xEcA&s,100,23.0143,72.6142
Western,Gujarat,Ahmedabad,Vaishnodevi Temple,Temple,0,Religious,https://s7ap1.scene7.com/is/image/incredibleindia/1-vaishno-devi-jammu-jk-attr-hero?qlt=82&ts=1726729280423,100,23.1378,72.5437
Western,Gujarat,Ahmedabad,Kamala Nehru Zoo,Zoo,20,Wildlife,https://media-cdn.tripadvisor.com/media/photo-s/05/80/f3/48/kamla-nehru-zoo.jpg,1050,23.0087,72.6035
Western,Gujarat,Ahmedabad,Alpha One Mall,Mall,0,Shopping,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_KPdbHvoXe31AG1CRTarBTgXgf-oWaxZvig&s,100,23.0364,72.5611
Western,Gujarat,Ahmedabad,Lal Darwaza,Market,0,Shopping,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0MtPTeNyMDmdxbFlseZaSe5WluTBM3DfMMA&s,100,23.0264,72.5819
Western,Gujarat,Ahmedabad,ISKCON Temple,Temple,0,Religious,https://yometro.com/images/places/iskcon-temple-ahmedabad.jpg,100,23.0256,72.5072
Western,Gujarat,Ahmedabad,Banascraft,Handicrafts,0,Shopping,https://www.holidify.com/images/cmsuploads/square/Dhalgarwad_20180216135322.jpg,100,23.038,72.5617
Western,Gujarat,Ahmedabad,Law Garden,Garden,0,Recreational,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXkK_OPq_alxhs9DSN27K1lcAxml9pnYtV2g&s,100,23.0273,72.5607
Western,Gujarat,Ahmedabad,Kapasi Handicraft Emporium,Handicrafts,0,Shopping,https://dt4f7ywfipgvt.cloudfront.net/assets/13-gallery-4.jpg,100,23.0332,72.5499
Western,Gujarat,Ahmedabad,Lalbhai Dalpatbhai Museum,Museum,10,Art and Manuscripts,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9l2QUGJ70lParJaErzlRJ3-1HZ71ZNcey7A&s,1050,23.033166,72.549895
Western,Gujarat,Ahmedabad,Tomb of Ahmed Shah's Mosque,Mosque,0,Religious,https://upload.wikimedia.org/wikipedia/commons/7/7c/Toms_of_Ahamed_Shah_Abdali.jpg,100,23.0126,72.3517
Western,Gujarat,Ahmedabad,R3 The Mall,Mall,0,Shopping,https://files.yappe.in/place/full/r3-the-mall-2012927.webp,100,23.0465,72.5404
Western,Gujarat,Ahmedabad,Radhe Shopping Mall,Mall,0,Shopping,https://content.jdmagicbox.com/comp/ahmedabad/q3/079pxx79.xx79.180103180028.h6q3/catalogue/osia-shopping-mall-maninagar-east-ahmedabad-supermarkets-0ibizup2cg.jpg,100,23.0017,72.6186
Western,Gujarat,Ahmedabad,Dada Bhagwan temple,Temple,0,Religious,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/bf/3b/a6/dada-bhagwan-temple.jpg?w=1200&h=-1&s=1,100,23.17,72.58
Western,Gujarat,Ahmedabad,Gujarat Science City,Science Center,50,Educational,https://travelsetu.com/apps/uploads/new_destinations_photos/destination/2023/12/19/8f1caa2788ab911408aecbc9d1646523_1000x1000.jpg,1050,23.0802,72.4969
Western,Gujarat,Ahmedabad,Shree Camp Hanuman Mandir,Temple,0,Religious,https://cdn2.advanceinfotech.org/bharatdirectory.in/1200x675/business/4039/shree-humanji-2-1713952477.webp,100,23.0679,72.6039
Western,Gujarat,Ahmedabad,Parimal Garden,Garden,0,Recreational,https://assets.architecturaldigest.in/photos/65e8115a3e10df6101c05a6c/master/w_1600%2Cc_limit/Parimal%2520Garden%2520Day%25203%2520Q2-1021948-Enhanced-NR.jpg,100,23.0203,72.5562
Western,Gujarat,Ahmedabad,Lothal,Archaeological Site,25,Historical,https://www.re-thinkingthefuture.com/wp-content/uploads/2024/01/1.-Lothal-Ahmedabad-in-Gujarat-cover_900_584.jpg?w=999,1050,22.5229,72.2494
Western,Gujarat,Ahmedabad,Sarkhej Roza,Monument,0,Architectural,https://upload.wikimedia.org/wikipedia/commons/9/90/Sarkhej.JPG,100,22.9936,72.5056
Western,Gujarat,Ahmedabad,Nehru Bridge,Bridge,0,Landmark,https://ahmedabadtourism.in/images/places-to-visit/headers/nehru-bridge-ahmedabad-tourism-entry-fee-timings-holidays-reviews-header.jpg,100,23.137,72.3429
Western,Gujarat,Ahmedabad,Vastrapur Lake,Lake,0,Recreational,"https://static.toiimg.com/thumb/msid-105693279,width-400,height-225,resizemode-72/105693279.jpg",100,23.0384,72.5288
Western,Gujarat,Ahmedabad,Kite Museum,Museum,10,Cultural,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.gujarattourism.com%2Fcentral-zone%2Fahmedabad%2Fkite-musuem.html&psig=AOvVaw1OsdKXdvfkLTlpqXUCxELW&ust=1743837182798000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCMiOmfDpvYwDFQAAAAAdAAAAABAE,1050,23.0047,72.341
Western,Gujarat,Ahmedabad,Vechaar Utensils Museum,Museum,10,Cultural,https://www.google.com/url?sa=i&url=https%3A%2F%2Fahmedabadtourism.in%2Fvechaar-utensils-museum-ahmedabad&psig=AOvVaw1rLrwk9DsDxFH9fkPyjNiq&ust=1743837138051000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCICv1dvpvYwDFQAAAAAdAAAAABAE,1050,22.99444,72.53573
Western,Gujarat,Ahmedabad,Sanskar Kendra,Museum,10,Cultural,https://www.google.com/url?sa=i&url=https%3A%2F%2Farcheyes.com%2Fsanskar-kendra-city-museum-by-le-corbusier%2F&psig=AOvVaw1jnU6hQZj4t8LMc1Q1aVCb&ust=1743837101276000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCIi27MnpvYwDFQAAAAAdAAAAABAE,1050,23.0131,72.5693
Western,Gujarat,Ahmedabad,Vadla,Lake,0,Bird Watching,https://www.google.com/url?sa=i&url=https%3A%2F%2Ftimesofindia.indiatimes.com%2Fcity%2Fahmedabad%2Fgujarat-vadla-to-soon-be-conservation-zone%2Farticleshow%2F79504428.cms&psig=AOvVaw1qVn32ih32SOH0UPBFy8mU&ust=1743837030601000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCLDlranpvYwDFQAAAAAdAAAAABAE,100,19.0149,72.8631
Western,Gujarat,Ahmedabad,Ahmedabad One,Mall,0,Shopping,https://images.app.goo.gl/eNBVUnJYSTYkatQ5A,100,23.0401,72.5315
Western,Gujarat,Ahmedabad,Victoria Garden,Garden,0,Recreational,https://www.landscapeindia.net/beta/api/uploads/media/639318dc9cc61.jpeg,100,23.0219,72.5795
Western,Gujarat,Ahmedabad,Dhanvantari Garden,Garden,0,Recreational,https://www.holidify.com/places/ahmedabad/dhanvantari-garden-sightseeing-1253360.html,100,23.0035,72.5594
Western,Gujarat,Ahmedabad,AUDA Garden,Garden,0,Recreational,https://www.holidify.com/places/ahmedabad/auda-garden-sightseeing-1253361.html,100,23.0407,72.5145
Western,Gujarat,Ahmedabad,Usmanpura Garden,Garden,0,Recreational,https://images.app.goo.gl/A9zPYaAezhfjxN5J6,100,23.0475,72.5722
Western,Gujarat,Ahmedabad,Gotila Garden-Talav,Garden,0,Recreational,https://www.holidify.com/places/ahmedabad/gotila-gardentalav-sightseeing-1253363.html,100,23.03989,72.49509
Western,Gujarat,Ahmedabad,Bansidhar Garden,Garden,0,Recreational,https://images.app.goo.gl/wmoELgRH1D4QYje36,100,23.0002,72.5546
Western,Gujarat,Ahmedabad,One Tree Hill Garden,Garden,0,Recreational,https://www.holidify.com/places/ahmedabad/one-tree-hill-garden-sightseeing-1253365.html,100,23.0063,72.6034
